id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,1,0.044498935,0.058428485,0.22583796,0.00017547655,0.043139786,1.5141253,1.4709855,0.07876676,0.034771774
1,1,0.044498935,0.033333335,0.22460358,0.025268154,0.043139786,1.5707963,1.5276564,0.07999998,0.034731846
2,1,0.044498935,0.115,0.143328,0.032896996,0.043139786,1.5707963,1.5276567,0.16119993,0.032103006
3,1,0.044498935,0.11338925,0.12110918,0.03526532,0.043139786,1.5667374,1.5235976,0.18339813,0.03138434
4,1,0.044498935,0.11335938,0.155654,0.03416418,0.043139786,1.5703994,1.5280535,0.14888543,0.032501686
5,1,0.044498935,0.11333246,0.16834082,0.0337558,0.043139786,1.566478,1.5233382,0.13621038,0.03291204
6,1,0.044498935,0.03336946,0.13586554,0.038177624,0.043139786,1.539023,1.5594299,0.16865546,0.031861633
7,1,0.044498935,0.1083423,0.23575468,0.16002735,0.043139786,1.5448222,1.5536307,0.06885928,0.035092525
8,1,0.044498935,0.033352252,0.2333085,0.17666185,0.043139786,1.5577343,1.5145944,0.07130319,0.035013404
9,1,0.044498935,0.47334418,0.22566412,0.44522917,0.043139786,1.564372,1.5212321,0.07894045,0.03476615
10,1,0.6800597,0.058428485,0.067777485,0.00364241,0.02407476,1.5141253,1.5382001,0.07902861,0.031310406
11,1,0.6800597,0.033333335,0.066805795,0.028672053,0.02407476,1.5707963,1.5467217,0.07999998,0.031327948
12,1,0.6800597,0.115,0.014417698,0.032205615,0.02407476,1.5707963,1.5467215,0.16119993,0.032794382
13,1,0.6800597,0.11338925,0.036612444,0.03345455,0.02407476,1.5667374,1.5507805,0.1833883,0.033195093
14,1,0.6800597,0.11335938,0.0020996754,0.03409387,0.02407476,1.5703994,1.5463246,0.14888549,0.03257199
15,1,0.6800597,0.11333246,0.010575846,0.034324702,0.02407476,1.566478,1.5510399,0.13621366,0.032343138
16,1,0.6800597,0.03336946,0.021920685,0.037108872,0.02407476,1.539023,1.5149482,0.16870075,0.032929845
17,0,0.6800597,0.7632687,0.1271128,0.11631348,0.02407476,1.5494057,1.5681123,0.046275023,0.047107037
18,1,0.6800597,0.1083423,0.07808728,0.16399695,0.02407476,1.5448222,1.5207474,0.06872177,0.031124268
19,1,0.6800597,0.033352252,0.07543826,0.18050347,0.02407476,1.5577343,1.5597837,0.071370065,0.031172097
20,0,0.6800597,0.03534885,0.1612464,0.28103444,0.02407476,1.4480596,1.4721344,0.0121513195,0.047723297
21,0,0.6800597,0.091801666,0.06730677,0.37180078,0.02407476,1.4909794,1.4669046,0.10606373,0.04602728
22,1,0.6800597,0.47334418,0.06783609,0.448686,0.02407476,1.564372,1.553146,0.078970015,0.031309348
23,1,0.04888889,0.115,0.07657783,0.04,0.0,1.5707963,1.5707963,0.16119993,0.105
24,1,0.04888889,0.11338925,0.054778036,0.03835095,0.0,1.5667374,1.5667374,0.18299973,0.105
25,1,0.04888889,0.11335938,0.08885396,0.038334142,0.0,1.5703994,1.5703994,0.14892381,0.105
26,1,0.04888889,0.11333246,0.10198242,0.038332835,0.0,1.566478,1.566478,0.13579535,0.105
27,1,0.04888889,0.1083423,0.16649692,0.090096295,0.0,1.5448222,1.5448222,0.07128084,0.105
28,1,0.04888889,0.033352252,0.1676934,0.10666928,0.0,1.5577343,1.5577343,0.07008439,0.105
29,1,0.04888889,0.47334418,0.15943901,0.37499383,0.0,1.564372,1.564372,0.07833874,0.105
30,2,0.071249045,0.7632687,0.20157559,0.022618191,0.057586968,1.5494057,1.4918187,0.0720046,0.05089897
31,2,0.071249045,0.091801666,0.26364556,0.43966776,0.057586968,1.4909794,1.5485663,0.010037537,0.053578317
32,2,0.737843,0.7632687,0.007901275,0.033715498,0.00573761,1.5494057,1.5551434,0.07232107,0.03980416
33,2,0.737843,0.091801666,0.055881582,0.4537612,0.00573761,1.4909794,1.4852418,0.008539268,0.03952974
34,3,0.737843,0.47334418,0.1267066,0.003189051,0.00573761,1.564372,1.5701096,0.0710448,0.04349047
35,3,0.05793925,0.47334418,0.15863353,0.0004375293,0.09462477,1.564372,1.482596,0.07107586,0.047116995
36,2,0.3378787,0.7632687,0.296198,0.052084565,0.030402943,1.5494057,1.5617841,0.07284495,0.021439314
37,2,0.3378787,0.091801666,0.36262527,0.4734287,0.030402943,1.4909794,1.4605765,0.0064483983,0.01992482
38,3,0.3378787,0.47334418,0.22245097,0.0057125,0.030402943,1.564372,1.5468179,0.071023226,0.040967107
39,2,0.051824152,0.7632687,0.071708135,0.060685884,0.12649612,1.5494057,1.465691,0.07309023,0.012839973
40,2,0.051824152,0.091801666,0.1403466,0.48705146,0.12649612,1.4909794,1.3644834,0.0050002034,0.0063453913
41,2,0.04670608,0.7632687,0.024981098,0.055812124,0.071594976,1.5494057,1.5205921,0.072951235,0.017712593
42,2,0.04670608,0.091801666,0.09227729,0.47926992,0.071594976,1.4909794,1.4193845,0.005827442,0.014102161
